Watershed;Informationextension
53711857;
53732759;
5381291;
5381451;
5384311;
54147;
541677;
5418171;
5418251;
549292;
5824331;
53712199;
53712251;
53713299;
5371471;
5371651;
5371859;
5372171;
5372279;
53733459;
5373459;
5373659;
5373829;
538117;
5381549;
5382339;
538449;
538489;
541139;
541271;
541285;
542251;
542439;
542619;
5426453;
54268179;
5426867;
549451;
549689;
566119;
5662511;
5666199;
5666839;
56668859;
582239;
582463119;
67432951;
53712231;TRUE
5371473;TRUE
538449;TRUE
541131;TRUE
5418151;TRUE
541829;TRUE
5422599;TRUE
5426159;TRUE
5426819;TRUE
5426867;TRUE
56618511;TRUE
56661791;TRUE
58246319;TRUE
